,id
54,0.1.2.3.19.22.24.27.30.35.38.45.54
55,0.1.2.3.19.22.36.47.53.55
56,0.1.2.3.19.22.24.34.40.44.56
57,0.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.Yuba County
58,0.1.2.3.19.22.24.27.30.32.37.Yolo County
59,0.1.2.3.19.22.24.34.46.Ventura County
60,0.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.Tuolumne County
61,0.1.2.3.19.22.24.27.30.35.43.52.Tulare County
62,0.1.2.3.4.Trinity County
63,0.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.20.Tehama County
64,0.1.2.3.19.21.26.Sutter County
65,0.1.2.3.19.22.24.27.30.35.43.52.Stanislaus County
66,0.1.2.3.19.22.24.27.33.39.42.Sonoma County
67,0.1.2.3.19.22.24.27.30.35.38.45.54.Solano County
68,0.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.Siskiyou County
69,0.Sierra County
70,0.1.2.3.19.21.26.28.29.31.Shasta County
71,0.1.2.3.19.22.24.27.33.39.41.Santa Cruz County
72,0.1.2.3.19.22.36.47.53.Santa Clara County
73,0.1.2.3.19.22.24.27.30.35.38.50.Santa Barbara County
74,0.1.2.3.19.22.36.47.53.55.San Mateo County
75,0.1.2.3.19.22.24.27.33.39.41.San Luis Obispo County
76,0.1.2.3.19.22.24.27.30.35.38.45.San Joaquin County
77,0.1.2.3.19.22.36.47.San Francisco County
78,0.1.2.3.19.22.24.34.40.44.San Diego County
79,0.1.2.3.19.22.24.34.40.44.56.San Bernardino County
80,0.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.San Benito County
81,0.1.2.3.19.22.24.27.33.39.42.51.Sacramento County
82,0.1.2.3.19.22.24.34.40.44.56.Riverside County
83,0.1.2.3.4.5.6.7.Plumas County
84,0.1.2.3.19.22.24.27.33.39.42.51.Placer County
85,0.1.2.3.19.22.24.34.46.49.Orange County
86,0.1.2.3.19.21.23.Nevada County
87,0.1.2.3.19.22.24.27.30.32.Napa County
88,0.1.2.3.19.22.24.27.30.35.38.50.Monterey County
89,0.1.2.3.4.5.6.Mono County
90,0.1.2.Modoc County
91,0.1.2.3.19.22.24.27.30.35.43.Merced County
92,0.1.2.3.19.21.23.25.Mendocino County
93,0.1.2.3.4.5.Mariposa County
94,0.1.2.3.19.22.36.Marin County
95,0.1.2.3.19.21.26.28.29.Madera County
96,0.1.2.3.19.22.24.34.46.49.Los Angeles County
97,0.1.2.3.4.5.6.7.8.9.10.Lassen County
98,0.1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.16.17.18.20.Lake County
99,0.1.2.3.19.21.26.28.29.31.Kings County
100,0.1.2.3.19.22.24.34.40.48.Kern County
101,0.1.2.3.4.5.6.7.8.9.10.11.12.13.Inyo County
102,0.1.2.3.19.21.26.28.Imperial County
103,0.1.2.3.19.21.23.25.Humboldt County
104,0.1.2.3.4.5.6.7.8.9.Glenn County
105,0.1.2.3.19.22.24.34.40.48.Fresno County
106,0.1.2.3.19.22.24.27.33.El Dorado County
107,0.1.2.3.4.5.6.7.8.9.10.11.Del Norte County
108,0.1.2.3.19.22.24.27.30.35.38.45.54.Contra Costa County
109,0.1.2.3.4.5.6.7.8.Colusa County
110,0.1.2.3.4.5.6.7.8.9.10.11.12.13.14.Calaveras County
111,0.1.2.3.19.22.24.27.30.32.37.Butte County
112,0.1.2.3.4.5.6.7.8.9.10.11.12.Amador County
113,0.1.Alpine County
114,0.1.2.3.19.22.36.47.53.55.Alameda County
